,Name,Market Cap (US$ Billion)
0, JPMorgan Chase,368.78
1, Industrial and Commercial Bank of China,295.65
2, Bank of America,279.73
3, Wells Fargo,214.34
4, China Construction Bank,207.98
5, Agricultural Bank of China,181.49
6, HSBC Holdings PLC,169.47
7, Citigroup Inc.,163.58
8, Bank of China,151.15
9, China Merchants Bank,133.37
10, Royal Bank of Canada,113.80
11, Toronto-Dominion Bank,106.61
12, Commonwealth Bank,99.77
13, HDFC Bank,105.9
14, U.S. Bancorp,84.40
15, Goldman Sachs,78.70
16, Banco Santander,75.47
17, Banco Bradesco,74.67
18, Morgan Stanley,73.93
19, Westpac,67.84
20, Mitsubishi UFJ Financial Group,66.20
21, Scotiabank,65.48
22, PNC Financial Services,63.11
23, Bank of Communications,61.85
24, BNP Paribas,59.36
25, Australia and New Zealand Banking Group,54.88
26, National Australia Bank,51.68
27, Lloyds Banking Group,51.19
28, Sumitomo Mitsui Financial Group,49.85
29, Bank of Montreal,48.12
30, UBS,45.92
31, ING Group,44.97
32, Capital One,43.22
33, The Bank of New York Mellon,42.58
34, China Minsheng Bank,39.13
35, China CITIC Bank,38.55
36, Banco Bilbao Vizcaya Argentaria,37.42
37, Mizuho Financial Group,36.95
38, Intesa Sanpaolo,36.90
39, Crédit Agricole,34.89
40, Canadian Imperial Bank of Commerce,34.87
41, Royal Bank of Scotland,33.95
42, Barclays,33.26
43, Credit Suisse,30.75
44, Nordea,29.59
45, Standard Chartered,29.37
46, KBC Bank,27.40
47, UniCredit,26.88
48, Société Générale,21.27
49, Deutsche Bank,15.77
